customerID	gender	SeniorCitizen	Partner	Dependents	tenure	PhoneService	MultipleLines	InternetService	OnlineSecurity	OnlineBackup	DeviceProtection	TechSupport	StreamingTV	StreamingMovies	Contract	PaperlessBilling	PaymentMethod	MonthlyCharges	TotalCharges	Churn	Tenure Group	Charges Tier
5919-TMRGD	Female	No	No	Yes	1	Yes	No	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	₹ 79.35	₹ 79.35	Yes	0-1 Year	High (>$65)
5583-SXDAG	Male	No	Yes	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	No	Electronic check	₹ 70	₹ 70	Yes	0-1 Year	High (>$65)
1820-TQVEV	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.55	₹ 69.55	Yes	0-1 Year	High (>$65)
5875-YPQFJ	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.9	₹ 69.9	Yes	0-1 Year	High (>$65)
7439-DKZTW	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	₹ 80.55	₹ 80.55	No	0-1 Year	High (>$65)
5494-HECPR	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	₹ 80.25	₹ 80.25	Yes	0-1 Year	High (>$65)
7206-GZCDC	Female	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.25	₹ 69.25	Yes	0-1 Year	High (>$65)
6567-HOOPW	Female	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	₹ 79.2	₹ 79.2	Yes	0-1 Year	High (>$65)
8580-AECUZ	Male	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	₹ 79.1	₹ 79.1	Yes	0-1 Year	High (>$65)
8375-DKEBR	Female	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.6	₹ 69.6	Yes	0-1 Year	High (>$65)
9804-ICWBG	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.9	₹ 69.9	Yes	0-1 Year	High (>$65)
8380-PEFPE	Male	No	No	Yes	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 71.65	₹ 71.65	Yes	0-1 Year	High (>$65)
3494-JCHRQ	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 70.05	₹ 70.05	Yes	0-1 Year	High (>$65)
8000-REIQB	Female	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.95	₹ 69.95	Yes	0-1 Year	High (>$65)
3177-LASXD	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	No	Electronic check	₹ 71.35	₹ 71.35	Yes	0-1 Year	High (>$65)
9300-RENDD	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	₹ 79.95	₹ 79.95	Yes	0-1 Year	High (>$65)
8051-HJRLT	Female	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 70.55	₹ 70.55	Yes	0-1 Year	High (>$65)
2514-GINMM	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	₹ 79.5	₹ 79.5	Yes	0-1 Year	High (>$65)
1846-XWOQN	Female	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 70.15	₹ 70.15	Yes	0-1 Year	High (>$65)
9603-OAIHC	Male	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 70.05	₹ 70.05	No	0-1 Year	High (>$65)
2262-SLNVK	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	No	Electronic check	₹ 70.1	₹ 70.1	No	0-1 Year	High (>$65)
5539-TMZLF	Male	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.75	₹ 69.75	Yes	0-1 Year	High (>$65)
7409-KIUTL	Female	Yes	No	Yes	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 71	₹ 71	Yes	0-1 Year	High (>$65)
0679-IDSTG	Female	Yes	Yes	Yes	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.25	₹ 69.25	Yes	0-1 Year	High (>$65)
5542-TBBWB	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.9	₹ 69.9	No	0-1 Year	High (>$65)
1761-AEZZR	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	₹ 79.55	₹ 79.55	Yes	0-1 Year	High (>$65)
2636-ALXXZ	Female	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.6	₹ 69.6	Yes	0-1 Year	High (>$65)
9885-CSMWE	Female	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	No	Month-to-month	No	Electronic check	₹ 78.45	₹ 78.45	Yes	0-1 Year	High (>$65)
1640-PLFMP	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 70.25	₹ 70.25	No	0-1 Year	High (>$65)
4510-HIMLV	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.8	₹ 69.8	Yes	0-1 Year	High (>$65)
3878-AVSOQ	Female	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 71.25	₹ 71.25	No	0-1 Year	High (>$65)
3716-BDVDB	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.1	₹ 69.1	Yes	0-1 Year	High (>$65)
9488-HGMJH	Female	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 71.15	₹ 71.15	Yes	0-1 Year	High (>$65)
4806-HIPDW	Female	No	Yes	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 68.95	₹ 68.95	Yes	0-1 Year	High (>$65)
5960-WPXQM	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	₹ 79.05	₹ 79.05	Yes	0-1 Year	High (>$65)
8644-XLFBW	Male	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 71.65	₹ 71.65	Yes	0-1 Year	High (>$65)
6372-RFVNS	Female	No	Yes	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	No	Month-to-month	No	Electronic check	₹ 78.8	₹ 78.8	Yes	0-1 Year	High (>$65)
3871-IKPYH	Male	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	No	Electronic check	₹ 69.1	₹ 69.1	Yes	0-1 Year	High (>$65)
1915-IOFGU	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	No	Electronic check	₹ 70.5	₹ 70.5	Yes	0-1 Year	High (>$65)
